,epoch,train_loss,valid_loss,bce
0,0,1.711162519454956,1.9698294401168823,0.77236605
1,1,1.3947935581207276,1.66159188747406,0.55623513
2,2,1.1722335815429688,1.2617932558059692,0.4030528
3,3,1.0189895749092102,1.2414227724075317,0.32818648
4,4,0.9067739129066468,1.2142510414123535,0.2618799
5,5,0.8180237174034118,1.1856642961502075,0.22715959
6,6,0.742776358127594,1.1852713823318481,0.20804119
7,7,0.678244161605835,1.0536481142044067,0.17348811
8,8,0.6247006893157959,0.8338257670402527,0.1549834
9,9,0.5794301390647888,0.685443639755249,0.14426345
10,10,0.5419445395469665,0.5817038416862488,0.13438314
11,11,0.5099689483642578,0.5475611090660095,0.124678515
12,12,0.48538561463356017,0.5152453780174255,0.12596896
13,13,0.45902312994003297,0.5020887851715088,0.114449814
14,14,0.4451813042163849,0.4773777723312378,0.11264494
15,15,0.428301727771759,0.45423489809036255,0.113386415
16,16,0.41561362743377683,0.4477749466896057,0.11012163
17,17,0.405763304233551,0.42484772205352783,0.09968644
18,18,0.40017394423484803,0.4491046667098999,0.11191097
19,19,0.39076138734817506,0.4132104814052582,0.10132444
20,20,0.38582147359848024,0.4437974691390991,0.102719724
21,21,0.37990116477012636,0.41071027517318726,0.112038605
22,22,0.37168384790420533,0.4103615880012512,0.10758881
23,23,0.3624272882938385,0.39671462774276733,0.10957583
24,24,0.3598894774913788,0.41046613454818726,0.10888654
25,25,0.3601166844367981,0.39546921849250793,0.098530196
26,26,0.35240964889526366,0.41128548979759216,0.09588963
27,27,0.35755196809768675,0.39662665128707886,0.10957007
28,28,0.34802467226982114,0.40971726179122925,0.09583189
29,29,0.3475321471691132,0.4144994616508484,0.09891853
30,30,0.3474271595478058,0.3746059834957123,0.10191439
31,31,0.3412897169589996,0.3695753812789917,0.0917696
32,32,0.33972702622413636,0.3813835084438324,0.09417969
33,33,0.3402982413768768,0.37404540181159973,0.09135103
34,34,0.33546043038368223,0.35557517409324646,0.09717111
35,35,0.3344904661178589,0.36133816838264465,0.10269825
36,36,0.33694597482681277,0.3755131661891937,0.11127901
37,37,0.32884812355041504,0.3743971884250641,0.10180217
38,38,0.3284423589706421,0.3557932376861572,0.09890389
39,39,0.3245560824871063,0.36976486444473267,0.101304494
40,40,0.3179661214351654,0.34732648730278015,0.0953477
41,41,0.31904472708702086,0.3506402373313904,0.091897234
42,42,0.31220881938934325,0.34822505712509155,0.09043476
43,43,0.3103498160839081,0.35845518112182617,0.079018176
44,44,0.30615894198417665,0.34766891598701477,0.10319304
45,45,0.3044980227947235,0.3555982708930969,0.08637838
46,46,0.30622702836990356,0.34707385301589966,0.09713833
47,47,0.30364333391189574,0.3398821949958801,0.08902397
48,48,0.30029473900794984,0.34399259090423584,0.09206554
49,49,0.29928993582725527,0.3516239821910858,0.086211085
50,50,0.2978928744792938,0.37146422266960144,0.090974554
51,51,0.3033189535140991,0.3717523217201233,0.08883717
52,52,0.29760164618492124,0.3386279344558716,0.08874919
53,53,0.29958699345588685,0.35231801867485046,0.10010799
54,54,0.3008634507656097,0.3641741871833801,0.09189057
55,55,0.2908064067363739,0.34181439876556396,0.09351416
56,56,0.29097587466239927,0.35238116979599,0.084459685
57,57,0.2885426700115204,0.3411644399166107,0.08998033
58,58,0.28464439511299133,0.33865946531295776,0.09364535
59,59,0.282770836353302,0.3435961604118347,0.079282746
60,60,0.2835374414920807,0.35145360231399536,0.07805829
61,61,0.2826247334480286,0.3364313542842865,0.07886969
62,62,0.2760005474090576,0.3389776051044464,0.07349541
63,63,0.2802162945270538,0.3505324125289917,0.08281851
64,64,0.27687087655067444,0.3366193175315857,0.09164302
65,65,0.27138768434524535,0.335134357213974,0.08494367
66,66,0.27770686745643614,0.33171868324279785,0.07943107
67,67,0.27269354462623596,0.3362152874469757,0.0711841
68,68,0.2698724865913391,0.3494306206703186,0.07458296
69,69,0.2692561477422714,0.3383844494819641,0.08335333
70,70,0.27124413251876833,0.3321491479873657,0.093360096
71,71,0.2704554915428162,0.3365222215652466,0.093393706
72,72,0.26732909083366396,0.3408695161342621,0.072627425
73,73,0.26917296051979067,0.345704585313797,0.08926141
74,74,0.26563575863838196,0.3379353880882263,0.08445956
75,75,0.26317046880722045,0.35749000310897827,0.08237855
76,76,0.2629012674093246,0.36036932468414307,0.082567036
77,77,0.2656050980091095,0.3554704487323761,0.07728493
78,78,0.26361308693885804,0.34302207827568054,0.07459833
79,79,0.25782856047153474,0.33573728799819946,0.071988635
80,80,0.2632831037044525,0.3316556513309479,0.07652642
81,81,0.26140605509281156,0.36186450719833374,0.0938323
82,82,0.2630442142486572,0.3469659388065338,0.07261257
83,83,0.2640366792678833,0.33100029826164246,0.0681926
84,84,0.2555636942386627,0.35751253366470337,0.072573386
85,85,0.2540416955947876,0.32894814014434814,0.0753337
86,86,0.24913351237773895,0.32907482981681824,0.07811876
87,87,0.2454557090997696,0.33547690510749817,0.06682284
88,88,0.24874704480171203,0.33555474877357483,0.0766408
89,89,0.2458145499229431,0.3287142813205719,0.07062557
90,90,0.2477627843618393,0.34246957302093506,0.07159697
91,91,0.24545250535011293,0.3437640070915222,0.0727434
92,92,0.24499570429325104,0.3317059576511383,0.06898348
93,93,0.24511276483535765,0.3324974775314331,0.075041644
94,94,0.2433110535144806,0.33220207691192627,0.08089067
95,95,0.24198841750621797,0.33649784326553345,0.074811384
96,96,0.24039990901947023,0.34330904483795166,0.06526697
97,97,0.24198130369186402,0.34093403816223145,0.0671656
98,98,0.2414100229740143,0.339292049407959,0.067671955
